Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Luke Babbitt,SF,28,ATL,37,9,15.4,2.2,4.5,.476,1.3,3.0,.441,0.8,1.5,.544,.622,0.5,0.6,.773,0.1,2.1,2.2,0.7,0.2,0.1,0.4,1.3,6.1
Kent Bazemore,SG,28,ATL,65,65,27.5,4.4,10.4,.420,1.7,4.2,.394,2.7,6.2,.438,.500,2.5,3.1,.796,0.4,3.4,3.8,3.5,1.5,0.7,2.4,2.3,12.9
Marco Belinelli,SG,31,ATL,52,1,23.3,3.8,9.3,.410,1.8,4.8,.372,2.1,4.6,.450,.505,1.9,2.1,.927,0.3,1.7,1.9,2.0,0.9,0.1,1.0,0.8,11.4
DeAndre' Bembry,SF,23,ATL,26,3,17.5,2.0,4.9,.414,0.4,1.2,.367,1.6,3.8,.429,.457,0.7,1.3,.576,0.3,2.5,2.8,1.9,0.8,0.5,1.8,1.5,5.2
Nicolás Brussino,SF,24,ATL,4,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Cavanaugh,PF,23,ATL,39,1,13.3,1.7,3.9,.441,0.8,2.3,.360,0.9,1.6,.556,.546,0.4,0.5,.810,1.2,2.1,3.3,0.7,0.2,0.1,0.4,1.6,4.7
Antonius Cleveland,SG,23,ATL,4,0,10.5,1.0,1.8,.571,0.8,0.8,1.000,0.3,1.0,.250,.786,0.5,0.5,1.000,0.3,0.8,1.0,0.0,0.3,0.3,1.3,3.0,3.3
John Collins,PF,20,ATL,74,26,24.1,4.2,7.4,.576,0.2,0.6,.340,4.0,6.7,.598,.591,1.8,2.5,.715,2.4,4.9,7.3,1.3,0.6,1.1,1.4,2.9,10.5
Dewayne Dedmon,C,28,ATL,62,46,24.9,4.0,7.7,.524,0.8,2.3,.355,3.2,5.4,.595,.577,1.1,1.4,.779,1.6,6.3,7.9,1.5,0.6,0.8,1.4,2.6,10.0
Malcolm Delaney,PG,28,ATL,54,3,18.8,2.0,5.3,.382,0.9,2.3,.371,1.2,3.0,.391,.463,1.4,1.7,.804,0.2,1.7,1.9,3.0,0.6,0.1,1.2,1.5,6.3
Tyler Dorsey,SG,21,ATL,56,5,17.4,2.6,6.8,.377,1.3,3.6,.362,1.3,3.3,.393,.471,0.8,1.1,.714,0.3,2.0,2.3,1.4,0.3,0.1,0.7,1.1,7.2
Jeremy Evans,SF,30,ATL,1,0,5.0,1.0,1.0,1.000,0.0,0.0,0,1.0,1.0,1.000,1.000,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
Ersan İlyasova,PF,30,ATL,46,40,25.5,4.0,8.7,.459,1.3,3.7,.359,2.7,5.0,.532,.535,1.6,2.0,.800,1.6,3.8,5.5,1.1,1.0,0.4,0.9,2.0,10.9
Damion Lee,SG,25,ATL,15,11,26.9,4.1,10.1,.408,1.0,4.0,.250,3.1,6.1,.511,.457,1.5,1.9,.759,0.7,4.0,4.7,1.9,1.3,0.1,0.9,1.7,10.7
Josh Magette,PG,28,ATL,18,0,12.0,0.8,2.6,.326,0.4,1.2,.364,0.4,1.3,.292,.413,0.4,0.4,1.000,0.1,0.9,1.1,3.2,0.4,0.1,0.5,0.9,2.6
Jaylen Morris,SG,22,ATL,6,0,16.3,2.2,5.3,.406,0.3,1.7,.200,1.8,3.7,.500,.438,0.0,0.0,0,0.3,2.3,2.7,1.2,0.3,0.2,1.0,0.3,4.7
Mike Muscala,C,26,ATL,53,7,20.0,2.7,5.9,.458,1.2,3.2,.371,1.5,2.7,.559,.558,1.1,1.2,.919,1.1,3.3,4.3,1.0,0.6,0.5,0.8,1.5,7.6
Miles Plumlee,C,29,ATL,55,35,16.7,1.9,3.3,.583,0.0,0.0,0,1.9,3.3,.583,.583,0.5,1.1,.450,1.4,2.7,4.1,0.8,0.3,0.5,1.1,1.4,4.3
Taurean Prince,SF,23,ATL,82,82,30.0,5.1,11.9,.426,2.1,5.6,.385,2.9,6.3,.461,.516,1.9,2.2,.844,0.6,4.1,4.7,2.6,1.0,0.5,2.3,2.0,14.1
Dennis Schröder,PG,24,ATL,67,67,31.0,7.5,17.1,.436,1.1,3.9,.290,6.3,13.2,.480,.469,3.4,4.0,.849,0.7,2.4,3.1,6.2,1.1,0.1,2.7,2.2,19.4
Isaiah Taylor,PG,23,ATL,67,9,17.4,2.4,5.8,.418,0.3,1.2,.250,2.1,4.6,.461,.444,1.5,2.1,.702,0.3,1.1,1.4,3.1,0.5,0.1,1.3,1.7,6.6
Andrew White,SF,24,ATL,15,0,13.9,1.7,4.9,.342,1.2,3.3,.367,0.5,1.6,.292,.466,0.1,0.3,.250,0.3,2.0,2.3,0.4,0.2,0.1,0.5,0.8,4.6
